date,open,high,low,close,volume,dividend,split
2012-12-21,69.34,70.43,69.31,70.4,3458400,0.0,1.0
2012-12-24,70.59,70.59,68.94,69.47,1096900,0.0,1.0
2012-12-26,69.61,70.1852,69.005,69.04,1129900,0.0,1.0
2012-12-27,69.14,69.47,68.21,69.02,1057300,0.0,1.0
2012-12-28,68.42,68.79,67.835,67.88,1010100,0.0,1.0
2012-12-31,67.54,69.3099,67.14,69.27,1581900,0.0,1.0
2013-01-02,70.67,71.21,70.24,71.21,2021500,0.0,1.0
2013-01-03,71.12,71.75,70.59,71.49,1740800,0.0,1.0
2013-01-04,71.65,71.66,71.0,71.07,2406300,0.0,1.0
2013-01-07,70.78,72.01,70.76,71.86,1941700,0.0,1.0
2013-01-08,71.5,71.68,70.28,70.41,1734900,0.0,1.0
2013-01-09,70.53,70.96,70.21,70.68,1404400,0.0,1.0
2013-01-10,71.03,71.65,70.92,71.65,1176700,0.0,1.0
2013-01-11,71.93,71.93,70.74,70.74,1588100,0.0,1.0
2013-01-14,70.6,70.82,70.14,70.35,2036300,0.0,1.0
2013-01-15,70.18,70.76,69.91,70.58,1488000,0.0,1.0
2013-01-16,70.61,70.79,69.51,69.8,1966900,0.0,1.0
2013-01-17,70.09,71.2,69.61,71.02,2186800,0.0,1.0
2013-01-18,70.89,71.15,70.41,70.66,2283400,0.0,1.0
2013-01-22,70.47,70.77,70.41,70.71,1853400,0.0,1.0
2013-01-23,68.37,71.69,67.2,71.45,8097300,0.0,1.0
2013-01-24,71.36,71.45,70.03,70.64,4237700,0.0,1.0
2013-01-25,70.75,71.09,70.2,70.96,2513400,0.0,1.0
2013-01-28,70.67,70.85,69.93,70.01,2846100,0.0,1.0
2013-01-29,69.85,69.91,69.03,69.25,2953600,0.0,1.0
2013-01-30,69.33,69.35,68.24,68.43,3040900,0.0,1.0
2013-01-31,68.22,68.37,66.125,66.3,5447300,0.0,1.0
2013-02-01,66.46,66.84,64.95,65.88,7156000,0.0,1.0
2013-02-04,65.16,65.64,64.47,64.57,4565300,0.0,1.0
2013-02-05,65.02,66.02,64.9,65.14,4732800,0.0,1.0
2013-02-06,65.0,66.32,65.0,66.27,4061800,0.0,1.0
2013-02-07,66.29,67.12,65.98,66.77,3747200,0.0,1.0
2013-02-08,66.74,66.88,66.47,66.82,2099200,0.0,1.0
2013-02-11,66.82,67.09,66.3,66.66,1650700,0.0,1.0
2013-02-12,66.93,66.99,66.495,66.68,1950800,0.0,1.0
2013-02-13,66.71,66.9,65.72,66.11,2673800,0.0,1.0
2013-02-14,65.81,66.75,65.63,66.22,2642200,0.0,1.0
2013-02-15,66.18,66.49,65.9,66.4,2015400,0.0,1.0
2013-02-19,66.52,67.03,66.21,67.03,2391600,0.0,1.0
2013-02-20,67.04,67.11,66.58,66.61,2304000,0.0,1.0
2013-02-21,66.6,66.75,66.04,66.49,1910300,0.0,1.0
2013-02-22,66.71,67.77,66.71,67.32,2115100,0.0,1.0
2013-02-25,67.71,67.89,66.67,66.69,3383200,0.0,1.0
2013-02-26,67.01,67.19,66.505,66.91,2701900,0.0,1.0
2013-02-27,66.75,68.74,66.6,68.55,3236400,0.0,1.0
2013-02-28,68.45,69.04,67.96,67.97,2338200,0.0,1.0
2013-03-01,67.54,68.14,66.91,67.73,1726500,0.0,1.0
2013-03-04,67.42,67.64,66.47,67.04,1598000,0.0,1.0
2013-03-05,67.3,67.87,67.2785,67.67,1432300,0.0,1.0
2013-03-06,67.88,68.0,67.4,67.68,1945400,0.0,1.0
2013-03-07,67.9,68.32,67.57,67.74,1930400,0.0,1.0
2013-03-08,68.05,68.965,68.05,68.89,2456600,0.0,1.0
2013-03-11,68.85,69.3,68.58,69.16,1492800,0.0,1.0
2013-03-12,69.11,69.34,68.38,68.77,1341700,0.0,1.0
2013-03-13,68.9,70.18,68.88,70.11,2444300,0.0,1.0
2013-03-14,70.13,70.38,69.6,69.65,1580800,0.0,1.0
2013-03-15,69.32,69.91,69.12,69.91,3352500,0.0,1.0
2013-03-18,69.2,70.1,69.13,69.69,1314400,0.0,1.0
2013-03-19,70.0,70.49,69.68,69.92,1847600,0.0,1.0
2013-03-20,70.21,70.48,69.68,69.74,1572300,0.0,1.0
2013-03-21,69.37,69.69,68.855,68.89,1544300,0.0,1.0
2013-03-22,69.14,69.44,69.0,69.29,1138700,0.0,1.0
2013-03-25,69.53,69.92,69.16,69.53,1949200,0.0,1.0
2013-03-26,69.78,70.365,69.73,70.3,2362200,0.0,1.0
2013-03-27,69.81,70.61,69.676,70.26,2560600,0.0,1.0
2013-03-28,70.29,70.7999,70.18,70.51,2504300,0.0,1.0
2013-04-01,70.14,70.24,68.12,68.16,2788800,0.0,1.0
2013-04-02,68.54,68.66,66.65,67.0,3552900,0.0,1.0
2013-04-03,67.16,68.63,66.87,68.39,3044400,0.0,1.0
2013-04-04,68.49,68.72,67.19,67.69,2333600,0.0,1.0
2013-04-05,67.37,69.64,67.17,69.56,3411400,0.0,1.0
2013-04-08,69.55,69.56,68.63,69.08,1861500,0.0,1.0
2013-04-09,69.37,69.68,68.79,69.33,1502700,0.0,1.0
2013-04-10,68.85,69.71,68.74,69.46,1748100,0.56,1.0
2013-04-11,69.7,71.38,69.6,71.33,2784600,0.0,1.0
2013-04-12,70.78,70.91,69.99,70.6,3324400,0.0,1.0
2013-04-15,69.67,70.0,68.1,68.19,2224500,0.0,1.0
2013-04-16,68.55,68.84,67.97,68.39,1810300,0.0,1.0
2013-04-17,67.74,67.97,65.77,66.43,3789700,0.0,1.0
2013-04-18,66.5,66.66,65.3703,65.99,3396300,0.0,1.0
2013-04-19,66.35,67.13,66.27,67.0,2861600,0.0,1.0
2013-04-22,67.16,67.16,66.05,66.37,1760900,0.0,1.0
2013-04-23,66.94,67.18,66.23,67.1,1719000,0.0,1.0
2013-04-24,68.52,72.18,68.5,71.73,5152800,0.0,1.0
2013-04-25,71.56,73.96,71.12,73.53,4411900,0.0,1.0
2013-04-26,73.36,73.905,73.01,73.3,2026300,0.0,1.0
2013-04-29,73.48,73.48,72.97,73.28,1994400,0.0,1.0
2013-04-30,73.3,74.09,72.68,73.96,2080300,0.0,1.0
2013-05-01,73.68,74.54,73.67,73.78,2345900,0.0,1.0
2013-05-02,73.84,74.47,73.69,74.46,1293300,0.0,1.0
2013-05-03,74.5,75.38,74.48,75.24,1803100,0.0,1.0
2013-05-06,75.07,75.5,74.9,75.25,1480900,0.0,1.0
2013-05-07,75.29,75.6,74.89,75.2,1595700,0.0,1.0
2013-05-08,75.1,75.63,74.74,75.42,1584400,0.0,1.0
2013-05-09,75.44,75.87,75.02,75.25,1202100,0.0,1.0
2013-05-10,75.25,75.77,75.15,75.7,1876600,0.0,1.0
2013-05-13,75.42,75.7,74.76,75.2,1733300,0.0,1.0
2013-05-14,75.32,77.0,75.32,76.64,2664000,0.0,1.0
2013-05-15,76.33,76.72,75.71,76.61,2191700,0.0,1.0
2013-05-16,76.55,77.05,76.04,76.14,2057100,0.0,1.0
2013-05-17,76.39,78.29,76.38,78.29,2720900,0.0,1.0
2013-05-20,78.15,78.67,77.89,78.6,2315700,0.0,1.0
2013-05-21,78.47,78.69,77.82,77.98,1875000,0.0,1.0
2013-05-22,78.12,78.6,77.14,77.42,1742100,0.0,1.0
2013-05-23,76.44,77.269,76.16,76.94,1368300,0.0,1.0
2013-05-24,76.65,77.695,76.37,77.34,1278600,0.0,1.0
2013-05-28,78.12,78.52,77.49,77.87,1068300,0.0,1.0
2013-05-29,77.46,78.09,77.0868,77.53,1151000,0.0,1.0
2013-05-30,77.79,78.76,77.77,78.35,1167600,0.0,1.0
2013-05-31,78.0,78.38,77.1,77.1,1715800,0.0,1.0
2013-06-03,77.23,77.92,76.81,77.57,1612700,0.0,1.0
2013-06-04,77.41,77.81,76.35,77.21,1661400,0.0,1.0
2013-06-05,76.87,77.159,76.46,76.68,1310000,0.0,1.0
2013-06-06,76.69,77.88,76.38,77.85,1844100,0.0,1.0
2013-06-07,78.3,79.46,78.08,79.12,1914000,0.0,1.0
2013-06-10,79.02,79.25,78.36,78.58,1672300,0.0,1.0
2013-06-11,77.95,79.105,77.8,78.17,1448800,0.0,1.0
2013-06-12,78.66,79.0,77.91,78.3,1258500,0.0,1.0
2013-06-13,78.15,78.585,77.69,78.07,2498400,0.0,1.0
2013-06-14,78.11,79.0,77.9,78.0,1570000,0.0,1.0
2013-06-17,78.63,79.13,77.96,78.38,1322200,0.0,1.0
2013-06-18,78.58,79.48,78.53,78.85,1890300,0.0,1.0
2013-06-19,78.94,78.96,77.48,77.5,1735200,0.0,1.0
2013-06-20,76.98,77.63,76.13,76.23,2246400,0.0,1.0
2013-06-21,76.81,77.2139,76.2,76.2,3264400,0.0,1.0
2013-06-24,76.04,77.1,75.63,76.48,2283500,0.0,1.0
2013-06-25,76.97,77.12,76.1,76.42,2067900,0.0,1.0
2013-06-26,77.2,77.97,76.69,77.89,2217400,0.0,1.0
2013-06-27,78.34,79.01,78.03,78.67,1848700,0.0,1.0
2013-06-28,78.44,78.9299,78.27,78.33,2382600,0.0,1.0
2013-07-01,78.06,79.37,77.96,79.01,2260700,0.0,1.0
2013-07-02,78.21,78.73,77.6,78.07,2863900,0.56,1.0
2013-07-03,77.71,78.59,77.4,78.34,885800,0.0,1.0
2013-07-05,79.04,79.565,78.62,79.42,1172000,0.0,1.0
2013-07-08,79.91,80.15,79.38,79.72,2848800,0.0,1.0
2013-07-09,80.21,80.54,79.72,79.86,1942800,0.0,1.0
2013-07-10,79.99,80.96,79.92,80.6,2234500,0.0,1.0
2013-07-11,81.33,82.72,81.22,82.45,2794200,0.0,1.0
2013-07-12,82.28,83.06,82.233,82.6,2296900,0.0,1.0
2013-07-15,82.65,83.58,82.55,83.56,1563800,0.0,1.0
2013-07-16,83.63,83.88,82.95,83.01,3147300,0.0,1.0
2013-07-17,83.03,83.44,82.62,82.93,1020700,0.0,1.0
2013-07-18,83.25,84.15,83.094,83.72,1553400,0.0,1.0
2013-07-19,83.81,84.67,83.54,84.4,2955200,0.0,1.0
2013-07-22,84.16,84.81,83.93,84.23,1897500,0.0,1.0
2013-07-23,84.45,84.56,83.78,84.03,1469800,0.0,1.0
2013-07-24,85.02,86.6,84.94,85.31,2996300,0.0,1.0
2013-07-25,85.4,85.92,84.63,85.8,1605500,0.0,1.0
2013-07-26,85.32,85.86,85.05,85.86,1142900,0.0,1.0
2013-07-29,84.8,85.33,83.99,85.02,2024900,0.0,1.0
2013-07-30,85.17,86.01,85.0,85.65,1496400,0.0,1.0
2013-07-31,85.5,86.17,85.07,85.34,2853400,0.0,1.0
2013-08-01,85.8,86.975,85.76,86.81,1524400,0.0,1.0
2013-08-02,86.68,87.54,86.44,87.49,1761700,0.0,1.0
2013-08-05,87.04,87.82,86.551,87.69,1547900,0.0,1.0
2013-08-06,87.28,87.85,87.23,87.34,1658600,0.0,1.0
2013-08-07,87.3,87.54,86.79,87.02,2125300,0.0,1.0
2013-08-08,87.38,87.8,86.86,87.02,998500,0.0,1.0
2013-08-09,87.03,87.28,86.46,86.92,1337700,0.0,1.0
2013-08-12,86.63,86.71,85.74,85.77,1265400,0.0,1.0
2013-08-13,85.81,86.19,85.28,86.0,1266100,0.0,1.0
2013-08-14,86.03,86.04,85.16,85.29,1384400,0.0,1.0
2013-08-15,84.44,84.78,83.72,83.81,1171700,0.0,1.0
2013-08-16,83.48,84.3,83.41,83.75,1466300,0.0,1.0
2013-08-19,83.43,84.55,83.41,84.15,1299800,0.0,1.0
2013-08-20,84.14,84.78,84.06,84.11,882900,0.0,1.0
2013-08-21,84.0,84.27,83.5375,83.71,1084600,0.0,1.0
2013-08-22,84.0,84.69,83.87,84.5,1022200,0.0,1.0
2013-08-23,84.47,84.71,84.19,84.61,954500,0.0,1.0
2013-08-26,84.67,85.2,84.24,84.24,1534100,0.0,1.0
2013-08-27,83.74,84.35,82.73,82.91,1275400,0.0,1.0
2013-08-28,82.87,83.36,82.23,82.85,1265600,0.0,1.0
2013-08-29,82.69,83.77,82.46,83.58,1011300,0.0,1.0
2013-08-30,83.64,83.71,83.01,83.25,1178700,0.0,1.0
2013-09-03,84.32,84.74,83.97,84.35,1239500,0.0,1.0
2013-09-04,84.13,85.09,84.02,84.99,2013800,0.0,1.0
2013-09-05,84.84,85.05,84.33,84.99,838500,0.0,1.0
2013-09-06,85.11,85.17,83.76,84.57,973800,0.0,1.0
2013-09-09,84.76,85.49,84.76,85.28,1101100,0.0,1.0
2013-09-10,85.6,86.76,85.52,86.74,1348700,0.0,1.0
2013-09-11,86.3,86.99,86.11,86.9,1072900,0.0,1.0
2013-09-12,87.02,87.125,86.39,86.63,931400,0.0,1.0
2013-09-13,86.86,87.28,86.31,87.13,922300,0.0,1.0
2013-09-16,87.57,88.3302,87.43,88.07,1209000,0.0,1.0
2013-09-17,86.65,89.2,86.65,89.14,1315800,0.0,1.0
2013-09-18,89.0,89.7779,88.09,89.39,1319800,0.0,1.0
2013-09-19,89.38,89.94,88.9,89.65,1279800,0.0,1.0
2013-09-20,89.62,89.71,88.1,88.15,1688900,0.0,1.0
2013-09-23,88.06,88.61,87.61,87.91,1293700,0.0,1.0
2013-09-24,87.85,88.33,87.77,87.93,1536000,0.0,1.0
2013-09-25,88.04,88.16,87.585,87.74,1288100,0.0,1.0
2013-09-26,87.68,88.46,87.57,88.25,823300,0.0,1.0
2013-09-27,87.9,88.38,87.73,88.29,1126100,0.0,1.0
2013-09-30,86.25,87.91,86.17,87.52,1695600,0.0,1.0
2013-10-01,87.45,88.49,87.44,88.48,1127400,0.0,1.0
2013-10-02,88.04,88.04,86.67,87.51,1303300,0.0,1.0
2013-10-03,87.46,87.46,85.19,85.98,1472700,0.0,1.0
2013-10-04,85.87,86.28,85.41,85.91,911400,0.0,1.0
2013-10-07,85.36,86.81,85.25,86.17,1232400,0.0,1.0
2013-10-08,86.31,86.49,84.92,84.97,1491300,0.0,1.0
2013-10-09,84.52,84.9,83.61,84.28,1513200,0.56,1.0
2013-10-10,85.03,87.41,84.95,87.41,1765800,0.0,1.0
2013-10-11,87.41,87.77,87.14,87.76,963500,0.0,1.0
2013-10-14,87.13,87.94,86.79,87.81,709500,0.0,1.0
2013-10-15,87.89,88.0,86.5075,86.85,787900,0.0,1.0
2013-10-16,87.16,87.63,86.94,87.55,1025000,0.0,1.0
2013-10-17,87.47,88.495,87.178,88.38,801400,0.0,1.0
2013-10-18,88.47,88.55,87.92,88.4,1360300,0.0,1.0
2013-10-21,88.6,88.74,87.93,88.0,1980300,0.0,1.0
2013-10-22,88.45,88.69,87.99,88.16,2098200,0.0,1.0
2013-10-23,88.89,88.98,85.83,86.23,2410100,0.0,1.0
2013-10-24,86.2,87.15,85.7901,87.12,2036300,0.0,1.0
2013-10-25,86.92,88.3,86.55,88.26,1907600,0.0,1.0
2013-10-28,88.11,88.16,87.34,87.65,1750100,0.0,1.0
2013-10-29,87.82,87.92,87.1,87.88,1762700,0.0,1.0
2013-10-30,88.09,88.45,86.35,86.49,2055100,0.0,1.0
2013-10-31,86.62,86.925,86.13,86.63,1446800,0.0,1.0
2013-11-01,86.85,87.73,86.66,87.15,877700,0.0,1.0
2013-11-04,87.46,87.569,86.96,87.08,800900,0.0,1.0
2013-11-05,87.05,87.54,86.76,87.1,1081500,0.0,1.0
2013-11-06,87.59,87.85,87.2,87.67,1192200,0.0,1.0
2013-11-07,87.71,87.99,86.74,86.8,1349900,0.0,1.0
2013-11-08,86.76,87.46,86.59,87.2,1427900,0.0,1.0
2013-11-11,87.22,87.31,87.044,87.17,989400,0.0,1.0
2013-11-12,86.76,87.25,86.64,86.73,1014000,0.0,1.0
2013-11-13,86.51,87.15,86.36,87.08,1846200,0.0,1.0
2013-11-14,87.5,87.94,87.21,87.94,2238800,0.0,1.0
2013-11-15,87.82,88.78,87.29,88.71,1588600,0.0,1.0
2013-11-18,89.0,89.93,88.91,89.3,1407500,0.0,1.0
2013-11-19,89.17,89.93,89.05,89.81,1796600,0.0,1.0
2013-11-20,89.9,90.42,89.295,89.62,1688900,0.0,1.0
2013-11-21,90.0,91.16,89.83,91.1,1796900,0.0,1.0
2013-11-22,90.94,92.22,90.72,92.15,1538400,0.0,1.0
2013-11-25,92.31,92.49,91.3,91.68,1122900,0.0,1.0
2013-11-26,91.72,92.29,91.69,91.92,1004700,0.0,1.0
2013-11-27,91.99,92.75,91.92,92.27,886300,0.0,1.0
2013-11-29,92.33,92.502,91.57,91.66,776200,0.0,1.0
2013-12-02,91.4,92.08,91.02,91.22,1136900,0.0,1.0
2013-12-03,91.09,91.36,90.02,90.34,1198600,0.0,1.0
2013-12-04,90.0,90.77,88.85,89.48,1597700,0.0,1.0
2013-12-05,89.28,90.255,89.1,89.23,882000,0.0,1.0
2013-12-06,90.06,90.79,89.78,90.79,1042700,0.0,1.0
2013-12-09,90.89,90.98,90.41,90.53,690200,0.0,1.0
2013-12-10,90.23,90.96,89.99,90.55,893000,0.0,1.0
2013-12-11,90.74,90.9,89.18,89.7,1924600,0.0,1.0
2013-12-12,89.47,90.1,89.41,89.89,1141100,0.0,1.0
2013-12-13,89.89,90.62,89.38,90.26,1178100,0.0,1.0
2013-12-16,90.48,91.34,90.29,90.92,1200800,0.0,1.0
2013-12-17,91.27,91.5,91.01,91.44,1124200,0.0,1.0
2013-12-18,91.4,93.61,91.01,93.55,1926800,0.0,1.0
2013-12-19,92.95,93.13,92.05,92.66,1365600,0.0,1.0
2013-12-20,92.64,93.91,92.64,93.37,1832100,0.0,1.0
2013-12-23,93.85,93.91,93.01,93.18,1019500,0.0,1.0
2013-12-24,93.32,93.77,93.14,93.77,358400,0.0,1.0
2013-12-26,93.95,94.94,93.95,94.84,786800,0.0,1.0
2013-12-27,94.49,95.04,94.45,95.0,944600,0.0,1.0
2013-12-30,94.97,95.1,94.66,95.1,1015100,0.0,1.0
2013-12-31,94.74,95.76,94.36,95.55,1078900,0.0,1.0
2014-01-02,94.85,95.53,94.54,94.75,1816400,0.0,1.0
2014-01-03,94.76,95.37,94.34,94.74,1045600,0.0,1.0
2014-01-06,94.95,95.27,94.03,94.46,1581900,0.0,1.0
2014-01-07,94.7,95.66,94.67,95.26,1470800,0.0,1.0
2014-01-08,95.16,95.3,94.2,94.72,1842200,0.0,1.0
2014-01-09,95.02,95.97,94.99,95.23,1848500,0.0,1.0
2014-01-10,95.6,95.64,94.53,95.1,1459900,0.0,1.0
2014-01-13,94.89,96.28,94.7,95.01,1846500,0.0,1.0
2014-01-14,95.44,95.96,95.0,95.96,1659900,0.0,1.0
2014-01-15,95.23,96.65,94.93,95.59,2668300,0.56,1.0
2014-01-16,95.45,95.83,95.18,95.4,777300,0.0,1.0
2014-01-17,95.4,95.92,95.33,95.47,1748500,0.0,1.0
2014-01-21,95.84,96.87,95.21,95.3,1673100,0.0,1.0
2014-01-22,96.12,100.5999,93.85,99.65,5421000,0.0,1.0
2014-01-23,99.96,101.8,99.93,101.55,3070600,0.0,1.0
2014-01-24,100.04,100.21,98.1,98.31,3503500,0.0,1.0
2014-01-27,97.855,100.37,97.855,99.95,3145800,0.0,1.0
2014-01-28,100.02,101.73,100.02,100.5,3568800,0.0,1.0
2014-01-29,99.78,99.99,98.43,99.01,2536200,0.0,1.0
2014-01-30,99.14,100.71,99.11,100.49,2363900,0.0,1.0
2014-01-31,99.21,102.18,98.83,101.31,3304200,0.0,1.0
2014-02-03,101.0,101.77,98.4,98.47,2721800,0.0,1.0
2014-02-04,100.82,101.59,98.75,99.68,7819300,0.0,1.0
2014-02-05,99.26,99.835,97.58,98.88,4055600,0.0,1.0
2014-02-06,100.15,101.5871,99.62,101.22,3383200,0.0,1.0
2014-02-07,101.87,104.5779,101.51,104.19,3158900,0.0,1.0
2014-02-10,103.2,103.64,102.44,102.51,2759600,0.0,1.0
2014-02-11,102.76,103.75,102.56,103.22,1949100,0.0,1.0
2014-02-12,103.29,103.81,103.04,103.66,2008900,0.0,1.0
2014-02-13,103.04,104.01,102.9,103.73,1629500,0.0,1.0
2014-02-14,103.41,106.45,103.2201,106.35,2579600,0.0,1.0
2014-02-18,106.08,107.22,105.58,106.77,2246800,0.0,1.0
2014-02-19,106.33,107.25,105.05,105.26,2762400,0.0,1.0
2014-02-20,105.65,108.0,105.526,107.75,2377000,0.0,1.0
2014-02-21,108.07,108.21,107.055,107.45,2426000,0.0,1.0
2014-02-24,107.27,109.57,107.0,108.76,2642400,0.0,1.0
2014-02-25,108.61,109.26,107.98,108.27,2090400,0.0,1.0
2014-02-26,108.24,108.7,107.39,108.03,2137700,0.0,1.0
2014-02-27,107.98,109.04,107.4101,108.98,1894100,0.0,1.0
2014-02-28,109.04,110.25,108.79,109.54,2282300,0.0,1.0
2014-03-03,108.06,110.98,107.73,110.61,3125000,0.0,1.0
2014-03-04,111.13,113.57,111.1,112.66,3641800,0.0,1.0
2014-03-05,112.4,113.1,111.69,111.84,2236800,0.0,1.0
2014-03-06,110.81,112.13,110.72,111.45,2589700,0.0,1.0
2014-03-07,110.83,112.09,110.62,111.49,2642300,0.0,1.0
2014-03-10,110.52,111.28,110.01,110.41,2191300,0.0,1.0
2014-03-11,109.84,110.632,108.92,108.99,1905200,0.0,1.0
2014-03-12,108.5,109.46,108.04,109.38,1793500,0.0,1.0
2014-03-13,109.58,110.3199,107.3,107.99,3006200,0.0,1.0
2014-03-14,107.85,108.47,107.21,107.63,2445400,0.0,1.0
2014-03-17,106.36,108.92,106.29,108.41,1756700,0.0,1.0
2014-03-18,108.89,109.641,108.68,109.4,2034200,0.0,1.0
2014-03-19,109.66,110.33,107.48,108.02,2185600,0.0,1.0
2014-03-20,107.95,108.38,106.866,107.25,2057300,0.0,1.0
2014-03-21,108.28,108.44,107.04,107.08,5152100,0.0,1.0
2014-03-24,107.5,107.96,105.66,106.58,2191600,0.0,1.0
2014-03-25,107.13,108.52,106.805,107.65,1850800,0.0,1.0
2014-03-26,108.19,108.82,106.66,106.66,2073500,0.0,1.0
2014-03-27,106.2,107.225,105.5,106.37,1893000,0.0,1.0
2014-03-28,106.43,108.08,106.38,107.7,1505700,0.0,1.0
2014-03-31,108.5,109.18,108.19,108.92,1713500,0.0,1.0
2014-04-01,109.16,109.74,108.66,109.68,1441100,0.0,1.0
2014-04-02,109.77,111.21,109.75,110.61,1672500,0.0,1.0
2014-04-03,110.96,111.32,110.2,110.89,1199100,0.0,1.0
2014-04-04,111.35,111.83,108.01,108.29,2052000,0.0,1.0
2014-04-07,108.29,109.25,107.14,107.65,2338300,0.0,1.0
2014-04-08,107.65,108.0,106.1,106.38,2403500,0.0,1.0
2014-04-09,106.15,108.18,106.05,108.04,1695400,0.62,1.0
2014-04-10,108.27,108.695,105.65,105.71,1453700,0.0,1.0
2014-04-11,105.37,106.1444,104.94,104.99,1447800,0.0,1.0
2014-04-14,105.41,106.02,104.22,105.13,1718200,0.0,1.0
2014-04-15,105.45,106.92,104.7,106.7,1709900,0.0,1.0
2014-04-16,107.45,108.19,106.69,108.18,1194800,0.0,1.0
2014-04-17,108.43,109.49,107.61,109.06,1556800,0.0,1.0
2014-04-21,109.19,109.595,108.42,109.3,1280000,0.0,1.0
2014-04-22,109.36,109.91,108.01,108.04,2020900,0.0,1.0
2014-04-23,108.37,112.1,106.54,111.58,2264700,0.0,1.0
2014-04-24,111.8,111.99,109.92,110.42,2016700,0.0,1.0
2014-04-25,110.0,110.385,108.73,109.01,1258400,0.0,1.0
2014-04-28,109.87,109.91,106.58,107.39,2644200,0.0,1.0
2014-04-29,108.54,109.08,108.13,108.26,2801700,0.0,1.0
2014-04-30,108.38,109.9,107.84,109.45,2409100,0.0,1.0
2014-05-01,109.51,110.79,109.18,109.77,1880500,0.0,1.0
2014-05-02,109.97,111.69,109.71,111.01,2124700,0.0,1.0
2014-05-05,110.6,111.99,110.41,111.88,2117800,0.0,1.0
2014-05-06,111.34,112.23,111.17,111.72,1795200,0.0,1.0
2014-05-07,112.0,112.37,111.21,111.96,2503700,0.0,1.0
2014-05-08,111.97,112.56,111.43,111.93,2128800,0.0,1.0
2014-05-09,111.86,112.79,111.08,112.79,2129900,0.0,1.0
2014-05-12,113.0,114.94,112.93,114.85,2412000,0.0,1.0
2014-05-13,115.0,115.96,114.75,115.29,2225400,0.0,1.0
2014-05-14,115.34,115.87,114.57,114.66,1958600,0.0,1.0
2014-05-15,114.56,114.83,113.09,113.22,2110100,0.0,1.0
2014-05-16,113.32,113.7,112.43,113.56,2534700,0.0,1.0
2014-05-19,112.93,115.0,112.82,114.82,2027800,0.0,1.0
2014-05-20,114.04,114.56,112.63,113.08,1853500,0.0,1.0
2014-05-21,113.28,114.73,113.26,114.65,1550800,0.0,1.0
2014-05-22,114.7,115.2399,114.31,114.98,1313200,0.0,1.0
2014-05-23,115.03,115.88,114.98,115.49,1472100,0.0,1.0
2014-05-27,115.75,116.48,115.49,116.35,1151600,0.0,1.0
2014-05-28,116.07,117.75,115.56,117.56,2146700,0.0,1.0
2014-05-29,117.53,118.19,116.83,117.97,1893300,0.0,1.0
2014-05-30,117.7,118.22,116.97,118.12,1870900,0.0,1.0
2014-06-02,118.11,118.48,117.63,118.02,1508700,0.0,1.0
2014-06-03,117.0,118.76,117.0,118.36,2090900,0.0,1.0
2014-06-04,118.32,118.66,117.86,118.36,1512700,0.0,1.0
